42,42: Cashing Out My Trump & IDW Positions,None,1-Dec-20
41,41: Douglas Murray – Heroism 2020: Defense of Our Own Civilization,Douglas Murray,23-Oct-20
40,40: Introducing The Portal Essay Club - What if everyone is simply insane?,None,12-Aug-20
39,39: Admission To Sugar Baby U.,Kimberly de la Cruz,29-Jul-20
38,"38: Mass Media, Markets, and Human Malware: A Portal Q&A",None,10-Jul-20
37,37: Surfing the Wake of The Woke,Andrew Marantz,1-Jul-20
36,"36: Dark Matter, Black Matters and All That Jazz",Stephon Alexander,11-Jun-20
35,35: Balaji Srinivasan - The Heretic & The Virus,Balaji Srinivasan,21-May-20
34,"34: Zev Weinstein - On Parenting, Boys & Generation Z",Zev Weinstein,13-May-20
33,33: Josh Wolfe - The Mind Financing The Future,Josh Wolfe,3-May-20
32,32: J. D. Vance - American Dreams and Nightmares,J. D. Vance,29-Apr-20
31,"31: Ryan Holiday - Conspiracy, Manipulation & other Pastimes",Ryan Holiday,23-Apr-20
30,30: Ross Douthat - The Rave Before the Fall,Ross Douthat,16-Apr-20
29,"29: Jamie Metzl - The Bio-Hacker will see you now, Ready or Not",Jamie Metzl,12-Apr-20
Special,A Portal Special Presentation- Geometric Unity: A First Look,None,2-Apr-20
28,28: Eric Lewis - The Singular Genius of Elew,Eric Lewis,28-Mar-20
27,27: Daniel Schmachtenberger - On Avoiding Apocalypses,Daniel Schmachtenberger,27-Mar-20
26,26: James O’Keefe: What is (and isn't) Journalism in the 21st century,James O’Keefe,19-Mar-20
25,25: The Construct: Jeffrey Epstein,None,7-Mar-20
24,24: Kai Lenny - To Play and Flirt with Giants,Kai Lenny,28-Feb-20
23,"23: Agnes Callard - Courage, Meta-cognitive detachment and their limits",Agnes Callard,24-Feb-20
22,22: Ben Greenfield - Wheat From Chaff in Human Fitness,Ben Greenfield,15-Feb-20
21,21: Ashley Mathews (aka Riley Reid) - The mogul and brains behind America's Sweetheart,Ashley Mathews (aka Riley Reid),31-Jan-20
20,20: Sir Roger Penrose - Plotting the Twist of Einstein’s Legacy,Sir Roger Penrose,24-Jan-20
19,19: Bret Weinstein - The Prediction and the DISC,Bret Weinstein,18-Jan-20
18,18: Slipping the DISC: State of The Portal & Chapter 2020,None,15-Jan-20
17,17: Anna Khachiyan - Reconstructing The Mystical Feminine From The Ashes Of “The Feminine Mystique”,Anna Khachiyan,20-Dec-19
16,16: Tyler Cowen - The Revolution Will Not Be Marginalized,Tyler Cowen,16-Dec-19
15,"15: Garrett Lisi - My Arch-nemesis, Myself",Garrett Lisi,6-Dec-19
14,14: London Tsai - The Reclusive Dean of The New Escherians,London Tsai,30-Nov-19
13,13: Garry Kasparov - Avoiding Zugzwang in AI and Politics,Garry Kasparov,23-Nov-19
12,12: Vitalik Buterin - The Ethereal Prince and His Virtual Machine,Vitalik Buterin,21-Nov-19
11,11: Sam Harris - Fighting with Friends,Sam Harris,15-Nov-19
10,10: Julie Lindahl: Shaking the poisoned fruit of shame out of the family tree,Julie Lindahl,31-Oct-19
9,9: Bryan Callen - Cracking Wise,Bryan Callen,30-Oct-19
8,8: Andrew Yang - The Dangerously Different Candidate The Media Wants You To Ignore,Andrew Yang,2-Oct-19
7,7: Bret Easton Ellis - The Dark Laureate of Generation X,Bret Easton Ellis,29-Sep-19
6,6: Jocko Willink - The Way of the Violent Intellectual,Jocko Willink,7-Sep-19
5,5: Rabbi Wolpe - “So a Rabbi and an atheist walk into a podcast...”,Rabbi Wolpe,31-Aug-19
4,4: Timur Kuran - The Economics of Revolution and Mass Deception,Timur Kuran,20-Aug-19
3,3: Werner Herzog,Werner Herzog,25-Jul-19
2,2: What Is The Portal,None,19-Jul-19
1,1: Peter Thiel,Peter Thiel,17-Jul-19
0,0: Welcome to The Portal,None,24-Jun-19
